Date,Open,High,Low,Close,Adj Close,Volume
2020-10-29,31.120001,31.299999,30.040001,30.959999,29.559813,19448700
2020-10-30,30.690001,30.870001,29.610001,29.799999,28.452276,21981900
2020-11-03,30.420000,30.760000,29.900000,30.100000,28.738707,17154400
2020-11-04,30.410000,30.850000,30.070000,30.320000,28.948755,13726100
2020-11-05,30.650000,31.129999,30.440001,30.690001,29.302025,18692500
2020-11-06,30.500000,30.660000,30.180000,30.490000,29.111067,12861600
2020-11-09,32.130001,32.959999,32.000000,32.700001,31.221123,33781000
2020-11-10,32.770000,34.820000,32.730000,34.369999,32.815590,42044300
2020-11-11,34.330002,34.770000,33.360001,34.160000,32.615086,27125800
2020-11-12,33.990002,34.130001,32.380001,32.730000,31.249763,24995400
2020-11-13,32.990002,33.169998,32.400002,33.049999,31.555290,17339500
2020-11-16,33.560001,34.250000,33.450001,33.900002,32.366852,23210900
2020-11-17,33.619999,34.410000,33.400002,34.200001,32.841980,18689500
2020-11-18,34.070000,34.650002,33.779999,34.279999,32.918797,20020100
2020-11-19,34.200001,35.099998,33.990002,34.619999,33.245296,21003100
2020-11-23,34.560001,35.070000,34.310001,34.520000,33.149269,17514500
2020-11-24,34.740002,36.060001,34.740002,35.439999,34.032738,22541800
2020-11-25,35.400002,35.630001,34.650002,35.340000,33.936710,13708100
2020-11-26,35.070000,35.189999,34.410000,34.779999,33.398949,9168500
2020-11-27,34.889999,35.310001,34.500000,34.610001,33.235695,9632200
2020-11-30,34.500000,34.580002,33.750000,33.860001,32.515476,19409500
2020-12-01,34.529999,35.369999,34.340000,34.790001,33.408550,19383800
2020-12-02,34.790001,35.330002,34.549999,34.939999,33.552597,12292600
2020-12-03,34.990002,35.880001,34.880001,35.240002,33.840683,21574900
2020-12-04,35.599998,35.980000,35.220001,35.980000,34.551296,14127700
2020-12-07,35.810001,37.270000,35.610001,36.150002,34.714546,23995800
2020-12-08,36.520000,37.580002,36.060001,36.459999,35.012238,18974300
2020-12-09,36.619999,36.900002,35.939999,35.959999,34.532089,12855300
2020-12-10,36.250000,38.000000,36.230000,37.830002,36.327839,26352300
2020-12-11,37.400002,38.730000,37.169998,38.490002,36.961632,24970200
2020-12-14,38.590000,39.330002,38.400002,38.500000,37.083939,24822600
2020-12-15,38.500000,39.500000,38.500000,38.990002,37.555923,15248300
2020-12-16,39.220001,39.790001,38.240002,39.349998,37.902679,26509000
2020-12-17,39.369999,39.770000,38.910000,39.389999,37.941208,11508700
2020-12-18,39.290001,39.630001,38.900002,39.099998,37.661873,12473800
2020-12-21,38.110001,38.480000,37.669998,37.790001,36.400059,18718600
2020-12-22,38.139999,38.860001,38.000000,38.290001,36.881668,10770400
2020-12-23,38.570000,39.180000,38.270000,38.919998,37.488495,9176300
2020-12-28,39.320000,39.549999,39.200001,39.349998,37.902679,7577200
2020-12-29,39.500000,39.599998,38.950001,39.119999,37.681137,7301400
2020-12-30,39.279999,39.349998,38.660000,38.799999,37.372910,8594000
2021-01-04,39.230000,39.290001,37.500000,37.590000,36.207413,13874600
2021-01-05,37.450001,37.450001,36.700001,37.200001,35.831757,15954000
2021-01-06,37.529999,38.730000,37.380001,38.049999,36.650497,20566700
2021-01-07,38.119999,39.700001,37.919998,39.560001,38.104958,21878700
2021-01-08,39.849998,40.560001,39.290001,39.790001,38.326496,16240300
2021-01-11,39.549999,39.900002,38.799999,39.139999,37.700405,16880700
2021-01-12,39.660000,39.790001,38.889999,39.500000,38.047161,15519000
2021-01-13,39.500000,39.700001,37.240002,37.549999,36.168884,34866200
2021-01-14,37.759998,38.150002,36.840000,37.459999,36.082188,39535200
2021-01-15,37.200001,37.450001,36.299999,36.299999,34.964863,29147400
2021-01-18,36.660000,37.029999,35.810001,35.930000,34.608471,23849800
2021-01-19,36.299999,36.330002,35.040001,35.320000,34.020908,19512600
2021-01-20,35.490002,35.580002,34.509998,34.529999,33.259960,22693600
2021-01-21,34.549999,34.810001,33.730000,34.180000,32.922840,23303500
2021-01-22,33.619999,33.820000,33.240002,33.689999,32.450859,20405700
2021-01-26,33.959999,34.240002,32.610001,32.790001,31.583963,26922300
2021-01-27,32.730000,34.029999,32.520000,33.750000,32.508648,25080200
2021-01-28,33.570000,34.950001,33.480000,34.540001,33.269592,20932100
2021-01-29,34.099998,34.669998,33.650002,33.860001,32.614605,17492800
2021-02-01,34.320000,34.500000,33.830002,34.290001,33.028790,16762600
